singer_id,song_id
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
15,24
24,25
25,26
26,27
27,28
28,29
29,30
30,31
31,32
6,33
6,34
32,35
33,36
34,37
35,38
36,39
37,40
3,41
35,42
3,43
38,44
39,45
38,46
39,47
40,48
41,49
21,50
42,51
43,52
44,53
45,54
46,55
47,56
47,57
48,58
17,59
48,60
17,61
49,62
50,63
19,64
51,65
52,66
53,67
54,68
55,69
53,70
54,71
55,72
50,73
19,74
51,75
52,76
56,77
57,78
49,79
58,80
59,81
60,82
61,83
62,84
63,85
64,86
65,87
66,88
67,89
68,90
69,91
70,92
71,93
72,94
73,95
74,96
75,97
75,98
76,99
77,100
78,101
79,102
80,103
81,104
82,105
78,106
83,107
84,108
85,109
86,110
87,111
88,112
89,113
90,114
91,115
30,116
92,117
72,118
39,119
93,120
94,121
95,122
93,123
96,124
97,125
98,126
98,127
99,128
100,129
101,130
102,131
103,132
104,133
105,134
106,135
107,136
108,137
109,138
110,139
4,140
78,141
111,142
112,143
113,144
114,145
106,146
44,147
23,148
115,149
116,150
113,151
117,152
118,153
119,154
45,155
120,156
121,157
122,158
123,159
124,160
113,161
125,162
126,163
88,164
127,165
127,166
128,167
129,168
130,169
131,170
131,171
132,172
133,173
134,174
135,175
136,176
137,177
134,178
138,179
139,180
140,181
141,182
142,183
143,184
144,185
145,186
132,187
146,188
147,189
148,190
149,191
149,192
103,193
150,194
151,195
152,196
7,197
153,198
154,199
155,200
156,201
67,202
157,203
158,204
73,205
159,206
160,207
112,208
161,209
162,210
163,211
164,212
165,213
166,214
167,215
168,216
169,217
170,218
96,219
171,220
172,221
173,222
174,223
173,224
124,225
175,226
176,227
177,228
178,229
179,230
179,231
180,232
181,233
182,234
17,235
53,236
19,237
183,238
184,239
185,240
186,241
25,242
187,243
188,244
189,245
190,246
124,247
191,248
60,249
192,250
193,251
194,252
195,253
192,254
196,255
197,256
197,257
198,258
199,259
90,260
200,261
200,262
201,263
202,264
37,265
46,266
103,267
45,268
203,269
100,270
204,271
58,272
205,273
204,274
206,275
207,276
207,277
200,278
208,279
208,280
209,281
209,282
210,283
211,284
210,285
212,286
213,287
214,288
215,289
216,290
217,291
218,292
219,293
94,294
220,295
179,296
221,297
222,298
58,299
72,300
223,301
224,302
225,303
218,304
226,305
227,306
228,307
143,308
229,309
230,310
231,311
232,312
140,313
233,314
88,315
184,316
234,317
235,318
123,319
236,320
237,321
94,322
225,323
2,324
238,325
78,326
239,327
240,328
241,329
242,330
243,331
244,332
90,333
245,334
246,335
234,336
247,337
248,338
140,339
249,340
106,341
60,342
30,343
250,344
212,345
251,346
252,347
14,348
253,349
254,350
255,351
256,352
255,353
210,354
216,355
257,356
74,357
258,358
14,359
259,360
260,361
43,362
107,363
56,364
261,365
262,366
109,367
263,368
264,369
265,370
234,371
266,372
267,373
268,374
256,375
109,376
255,377
269,378
270,379
271,380
272,381
273,382
58,383
274,384
275,385
276,386
277,387
17,388
278,389
279,390
280,391
210,392
281,393
114,394
21,395
282,396
182,397
283,398
284,399
285,400
286,401
287,402
75,403
90,404
288,405
289,406
290,407
218,408
112,409
291,410
292,411
293,412
124,413
294,414
295,415
296,416
297,417
298,418
299,419
300,420
301,421
280,422
25,423
302,424
303,425
304,426
305,427
12,428
30,429
306,430
306,431
307,432
308,433
208,434
208,435
3,436
309,437
310,438
311,439
312,440
313,441
314,442
278,443
278,444
273,445
315,446
316,447
317,448
318,449
319,450
320,451
278,452
85,453
94,454
73,455
85,456
321,457
322,458
322,459
323,460
324,461
3,462
58,463
325,464
326,465
90,466
327,467
328,468
74,469
329,470
330,471
330,472
139,473
93,474
94,475
94,476
294,477
85,478
331,479
296,480
332,481
333,482
135,483
334,484
335,485
58,486
336,487
336,488
337,489
94,490
338,491
94,492
94,493
94,494
94,495
339,496
94,497
340,498
248,499
341,500
213,501
335,502
335,503
262,504
342,505
343,506
344,507
345,508
346,509
28,510
347,511
348,512
349,513
350,514
351,515
267,516
352,517
353,518
354,519
355,520
179,521
356,522
357,523
358,524
359,525
360,526
54,527
2,528
140,529
58,530
361,531
356,532
294,533
124,534
362,535
363,536
176,537
364,538
365,539
366,540
367,541
73,542
368,543
369,544
355,545
84,546
370,547
90,548
85,549
85,550
371,551
85,552
372,553
318,554
208,555
39,556
373,557
94,558
374,559
375,560
58,561
93,562
376,563
340,564
