"wildcard","name","slug_name","description",cover_image_id
"dtt","Do Tu Tai","do-tu-tai","NULL",0
"bdgl","Bruce Doan & Giao Linh","bruce-doan-giao-linh","NULL",0
"mqtd","Manh Quynh & Tam Doan","manh-quynh-tam-doan","NULL",0
"nmtd","Ngoc Minh & Tam Doan","ngoc-minh-tam-doan","NULL",0
"sc","Song Ca","song-ca","NULL",0
"cllt","Chirstiane Le & Le Tri","chirstiane-le-le-tri","NULL",0
"hhy","Ho Hoang Yen","ho-hoang-yen","NULL",0
"ql","Quynh Lan","quynh-lan","NULL",0
"tv","Tuan Vu","tuan-vu","NULL",0
"cl","Cam Ly","cam-ly","NULL",0
"hn","Hoai Nam","hoai-nam","NULL",0
"nhql","Ngoc Ha & Quang Le","ngoc-ha-quang-le","NULL",0
"tt","Thuy Trang","thuy-trang","NULL",0
"aq","Anh Quoc","anh-quoc","NULL",0
"ht","Hamlet Truong","hamlet-truong","NULL",0
"bk","Bill Kiet","bill-kiet","NULL",0
"naqh","Ngoc Anh-Quoc Hung","ngoc-anh-quoc-hung","NULL",0
"nh","Nguyen Hung","nguyen-hung","NULL",0
"tt","Thanh Thanh","thanh-thanh","NULL",0
"lm","Lam Minh","lam-minh","NULL",0
"ns","Ngoc Son","ngoc-son","NULL",0
"tq","Truc Quyen","truc-quyen","NULL",0
"n","NgocSon","ngocson","NULL",0
"bc","Bang Cuong","bang-cuong","NULL",0
"lcv","Luu Chi Vy","luu-chi-vy","NULL",0
"ltv","Lam Thuy Van","lam-thuy-van","NULL",0
"ak","Anh Khoa","anh-khoa","NULL",0
"ch","Canh Han","canh-han","NULL",0
"ep","Elvis Phuong","elvis-phuong","NULL",0
"n","Nam","nam","NULL",0
"tn","Tuan Ngoc","tuan-ngoc","NULL",0
"td","Tran Duc","tran-duc","NULL",0
"ktl","Kim Tieu Long","kim-tieu-long","NULL",0
"ppt","Pham Phuong Thao","pham-phuong-thao","NULL",0
"dd","Dong Dao","dong-dao","NULL",0
"db","Dzoãn Bình","dzoan-binh","NULL",0
"qv","Quang Vinh","quang-vinh","NULL",0
"dkp","Dinh Kien Phong","dinh-kien-phong","NULL",0
"mt","Meghan Trainor","meghan-trainor","NULL",0
"jl","John Legend","john-legend","NULL",0
"c","Cher","cher","NULL",0
"ph","Philip Huy","philip-huy","NULL",0
"ett","Evan & Thuy Tram","evan-thuy-tram","NULL",0
"ejtt","Evan-Jacqueline Thuy Tram","evan-jacqueline-thuy-tram","NULL",0
"b","Brandy","brandy","NULL",0
"go","Gilbert Osullivan","gilbert-osullivan","NULL",0
"nd","Nam Du","nam-du","NULL",0
"mc","Mariah Carey","mariah-carey","NULL",0
"m","Male","male","NULL",0
"htm","Huu Truong-MPKH","huu-truong-mpkh","NULL",0
"vo","Vy Oanh","vy-oanh","NULL",0
"ap","Akira Phan","akira-phan","NULL",0
"msd","Mai Sy Dang","mai-sy-dang","NULL",0
"lmh","Luong Manh Hieu","luong-manh-hieu","NULL",0
"lbq","Luong Bang Quang","luong-bang-quang","NULL",0
"hl","Hai Ly","hai-ly","NULL",0
"lbtt","Luu Bich-Thuy Tien","luu-bich-thuy-tien","NULL",0
"nn","Nhat Nguyet","nhat-nguyet","NULL",0
"dla","Diep Lam Anh","diep-lam-anh","NULL",0
"dvp","Doan Viet Phuong","doan-viet-phuong","NULL",0
"cpnh","Che Phong-Ngoc Hue","che-phong-ngoc-hue","NULL",0
"lt","Lam Truong","lam-truong","NULL",0
"tk","Tuấn Khanh","tuan-khanh","NULL",0
"hn","Hong Ngoc","hong-ngoc","NULL",0
"lv","Lam Vu","lam-vu","NULL",0
"th","Tuan Hung","tuan-hung","NULL",0
"dt","Duy Tan","duy-tan","NULL",0
"tkm","Trương Khải Minh","truong-khai-minh","NULL",0
"nh","Ngoc Huong","ngoc-huong","NULL",0
"tt","Thanh Thuy","thanh-thuy","NULL",0
"tv","Thanh Van","thanh-van","NULL",0
"tlqv","Trinh Lam-Quynh Vi","trinh-lam-quynh-vi","NULL",0
"lh","Le Hieu","le-hieu","NULL",0
"hg","Huong Giang","huong-giang","NULL",0
"pc","Perry Como","perry-como","NULL",0
"btvk","Bao Thy-Vuong Khang","bao-thy-vuong-khang","NULL",0
"jc","Javier Colon","javier-colon","NULL",0
"ht","Huong Tram","huong-tram","NULL",0
"mtdtt","Mai Tien Dung-Toc Tien","mai-tien-dung-toc-tien","NULL",0
"s","Shaggy","shaggy","NULL",0
"mcn","Mariah Carey-Neyo","mariah-carey-neyo","NULL",0
"hqh","Ho Quynh Huong","ho-quynh-huong","NULL",0
"mltt","My Le & Tran Tam","my-le-tran-tam","NULL",0
"cldt","Cam Ly-Dan Truong","cam-ly-dan-truong","NULL",0
