"wildcard","name","slug_name","description",cover_image_id
"hlmd","Hoang Lan-Manh Dinh","hoang-lan-manh-dinh","NULL",0
"nqts","Nhu Quynh-The Son","nhu-quynh-the-son","NULL",0
"tl","Thanh Long","thanh-long","NULL",0
"ct","Chien Thang","chien-thang","NULL",0
"hnhlq","Ho Ngoc Ha-Le Quyen","ho-ngoc-ha-le-quyen","NULL",0
"mtvmq","Mai Thien Van-Manh Quynh","mai-thien-van-manh-quynh","NULL",0
"tdtv","Tam Doan-Truong Vu","tam-doan-truong-vu","NULL",0
"nhtc","Ngoc Huyen & Tuan Chau","ngoc-huyen-tuan-chau","NULL",0
"cc","Chi Cuong","chi-cuong","NULL",0
"av","Anh Vu","anh-vu","NULL",0
"dqh","Duong Quoc Hung","duong-quoc-hung","NULL",0
"vht","Vo Ha Tram","vo-ha-tram","NULL",0
"tnv","Tran Ngoc Vu","tran-ngoc-vu","NULL",0
"mt","Minh Thu","minh-thu","NULL",0
"csh","Cao Sy Hung","cao-sy-hung","NULL",0
"amj","Anh Minh & Justin","anh-minh-justin","NULL",0
"hqhnv","Hồ Quang Hiếu & Nguyên Vũ","ho-quang-hieu-nguyen-vu","NULL",0
"tt","Tien Tien","tien-tien","NULL",0
"m","Mlee","mlee","NULL",0
"lkvtgv","Luong Khanh Vy & Tong Gia Vy","luong-khanh-vy-tong-gia-vy","NULL",0
"td","Tan Dat","tan-dat","NULL",0
"nt","Ngoc Thao","ngoc-thao","NULL",0
"kpu","Ky Phuong Uyen","ky-phuong-uyen","NULL",0
"mt","Mai Thao","mai-thao","NULL",0
"ltl","Le Thuy Linh","le-thuy-linh","NULL",0
"pda","Phan Duy Anh","phan-duy-anh","NULL",0
"tn","Tuan Nghia","tuan-nghia","NULL",0
"nkhtt","Ngo Kien Huy-Thanh Thao","ngo-kien-huy-thanh-thao","NULL",0
"hat","Hoang Anh Tung","hoang-anh-tung","NULL",0
"ttm","Thich Thien My","thich-thien-my","NULL",0
"ltqqv","Luong Tung Quang-Quynh Vi","luong-tung-quang-quynh-vi","NULL",0
"dttm","Duc Tuan-Thu Minh","duc-tuan-thu-minh","NULL",0
"kd","Kien Di","kien-di","NULL",0
"chtc","Canh Han-Tu Chau","canh-han-tu-chau","NULL",0
"btxt","Bao Tho-Xuan Thu","bao-tho-xuan-thu","NULL",0
"btvhtn","Be Ti & Viet Huong & Thuy Nga","be-ti-viet-huong-thuy-nga","NULL",0
"bttnvh","Be Ti-Thuy Nga-Viet Huong","be-ti-thuy-nga-viet-huong","NULL",0
"dtvvq","Duong Trieu Vu-Van Quynh","duong-trieu-vu-van-quynh","NULL",0
"phthqht","Phuong Hoai Tam & Hong Que & Hoai Tam","phuong-hoai-tam-hong-que-hoai-tam","NULL",0
"tat","Trang Anh Tho","trang-anh-tho","NULL",0
"nhnhns","Ngoc Ha-Ngoc Hai-Ngoc Son","ngoc-ha-ngoc-hai-ngoc-son","NULL",0
"qh","Quoc Hoan","quoc-hoan","NULL",0
"kdmh","Khanh Duy-Mai Hau","khanh-duy-mai-hau","NULL",0
"pntc","Phi Nhung & Thai Chau","phi-nhung-thai-chau","NULL",0
"mh","Minh Ha","minh-ha","NULL",0
"mhtc","Mai Hau & Tuan Canh","mai-hau-tuan-canh","NULL",0
"mtvtc","Mai Thien Van-Tuan Canh","mai-thien-van-tuan-canh","NULL",0
"ht","Hoang Ton","hoang-ton","NULL",0
"tn","Thanh Nam","thanh-nam","NULL",0
"btdtl","Bang Tam & Dang The Luan","bang-tam-dang-the-luan","NULL",0
"btdk","Bang Tam & Duy Khanh","bang-tam-duy-khanh","NULL",0
"dpdktl","Dao Phi Duong-Kim Tieu Long","dao-phi-duong-kim-tieu-long","NULL",0
"hd","Huynh Dong","huynh-dong","NULL",0
"ctlth","Chung Tu Luu & Thanh Huyen","chung-tu-luu-thanh-huyen","NULL",0
"bc","Bang Chau","bang-chau","NULL",0
"hltv","Huong Lan & Tuan Vu","huong-lan-tuan-vu","NULL",0
"nhtntk","Ngoc Huyen & Tuong Nguyen & Tuong Khue","ngoc-huyen-tuong-nguyen-tuong-khue","NULL",0
"ltnd","Le Toan & Ngoc Dai","le-toan-ngoc-dai","NULL",0
"nlvk","Ngoc Lan & Vu Khanh","ngoc-lan-vu-khanh","NULL",0
"nqtc","Nhu Quynh & Thai Chau","nhu-quynh-thai-chau","NULL",0
"hvv","Hua Vi Van","hua-vi-van","NULL",0
"dlhl","Duy Linh & Hoang Lan","duy-linh-hoang-lan","NULL",0
"hotc","Hoang Oanh & Trung Chinh","hoang-oanh-trung-chinh","NULL",0
"htkt","Hoang Tam & Kha Tu","hoang-tam-kha-tu","NULL",0
"nhtt","Ngoc Hai-Thach Thao","ngoc-hai-thach-thao","NULL",0
"ndt","Ngoc Dan Thanh","ngoc-dan-thanh","NULL",0
"dnt","Duong Ngoc Thai","duong-ngoc-thai","NULL",0
"chm","Chau Ha My","chau-ha-my","NULL",0
"dthv","Duy Truong-Ha Vy","duy-truong-ha-vy","NULL",0
"gtts","Giang Tien-Truong Son","giang-tien-truong-son","NULL",0
"tc","Tuan Cuong","tuan-cuong","NULL",0
"atqh","Anh Tho-Quang Hao","anh-tho-quang-hao","NULL",0
"vcthy","Vuong Chi Thanh-Hoang Yen","vuong-chi-thanh-hoang-yen","NULL",0
"tvtt","Truong Vu & Thanh Thu","truong-vu-thanh-thu","NULL",0
"lghlgh","Luong Gia Hung-Luong Gia Huy","luong-gia-hung-luong-gia-huy","NULL",0
"nd","Nhat Dan","nhat-dan","NULL",0
"tn","To Nhu","to-nhu","NULL",0
"nd","Nhat Dang","nhat-dang","NULL",0
"dnmd","Dan Nguyen & Manh Dinh","dan-nguyen-manh-dinh","NULL",0
"nand","Nam Anh-Nam Du","nam-anh-nam-du","NULL",0
"hhyntphh","Ho Hoang Yen & Nhat Truong & Phuong Hong Hue","ho-hoang-yen-nhat-truong-phuong-hong-hue","NULL",0
"ctmd","Chau Tuan & Manh Dinh","chau-tuan-manh-dinh","NULL",0
"tctt","Thai Chau & Thu Thao","thai-chau-thu-thao","NULL",0
"hh","Hoang Hiep","hoang-hiep","NULL",0
"bk","Bao Khanh","bao-khanh","NULL",0
"cnhv","Cris Nguyen-Hieu Viper","cris-nguyen-hieu-viper","NULL",0
"dhfnq","Don Ho Ft Nhu Quynh","don-ho-ft-nhu-quynh","NULL",0
"bttt","Bang Tam & Thanh Thuy","bang-tam-thanh-thuy","NULL",0
"lcvldl","Luu Chi Vy-Ly Dieu Linh","luu-chi-vy-ly-dieu-linh","NULL",0
"nd","Ngoc Dai","ngoc-dai","NULL",0
"tq","Trung Quan","trung-quan","NULL",0
"httv","Hong Truc & Truong Vu","hong-truc-truong-vu","NULL",0
"tvht","Trường Vũ & Hồng Trúc","truong-vu-hong-truc","NULL",0
"sb","Sy Ben","sy-ben","NULL",0
"mqqt","Manh Quynh & Que Trang","manh-quynh-que-trang","NULL",0
"pd","Phuong Dung","phuong-dung","NULL",0
"jn","Jmmy Nguyen","jmmy-nguyen","NULL",0
"hak","Hoai Anh Kiet","hoai-anh-kiet","NULL",0
"bt","Bao Tuan","bao-tuan","NULL",0
"pntv","Phi Nhung & Truong Vu","phi-nhung-truong-vu","NULL",0
"tvpn","Trường Vũ & Phi Nhung","truong-vu-phi-nhung","NULL",0
"khv","Ksim Hoang VU","ksim-hoang-vu","NULL",0
"tl","Thanh Loc","thanh-loc","NULL",0
"ka","Ky Anh","ky-anh","NULL",0
"hchl","Hoang Chau-Hoai Lam","hoang-chau-hoai-lam","NULL",0
"tdtn","Thuy Duong-Tuong Nguyen","thuy-duong-tuong-nguyen","NULL",0
"ctpt","Che Thanh-Phuong Thuy","che-thanh-phuong-thuy","NULL",0
"qa","Quynh Anh","quynh-anh","NULL",0
"tbt","Trina Bao Tran","trina-bao-tran","NULL",0
"th","Thanh Hang","thanh-hang","NULL",0
"clql","Cam Ly & Quang Linh","cam-ly-quang-linh","NULL",0
"qkt","Quang Kim Thuy","quang-kim-thuy","NULL",0
"hntt","Hoai Nam & Thanh Tuyen","hoai-nam-thanh-tuyen","NULL",0
"gltv","Giao Linh-Tuan Vu","giao-linh-tuan-vu","NULL",0
"tkyp","Thien Kim & Y Phuong","thien-kim-y-phuong","NULL",0
"th","Thu Ha","thu-ha","NULL",0
"ttl","Trang Thanh Lan","trang-thanh-lan","NULL",0
"dnyp","Dan Nguyen-Y Phung","dan-nguyen-y-phung","NULL",0
"kvlt","Khac Viet-Lam Trang","khac-viet-lam-trang","NULL",0
"btdn","Bang Tam-Dan Nguyen","bang-tam-dan-nguyen","NULL",0
"dnbt","Dan Nguyen & Bang Tam","dan-nguyen-bang-tam","NULL",0
"pn","Phuong Nam","phuong-nam","NULL",0
"tttt","Thanh Toan & Thanh Tuyen","thanh-toan-thanh-tuyen","NULL",0
"mbkm","Mr Bo-Khoi My","mr-bo-khoi-my","NULL",0
"dpth","Doan Phi & Thuy Huong","doan-phi-thuy-huong","NULL",0
"tnyp","Tuong Nguyen-Yen Phuong","tuong-nguyen-yen-phuong","NULL",0
"nkh","Ngo Khai Hy","ngo-khai-hy","NULL",0
"mhr","My Huyen-Randy","my-huyen-randy","NULL",0
"clfpm","Che Linh ft Phuong Mai","che-linh-ft-phuong-mai","NULL",0
"lt","Lý Thanh","ly-thanh","NULL",0
"qbfttl","Quanh Binh ft Trang Thanh Lang","quanh-binh-ft-trang-thanh-lang","NULL",0
"htql","Huong Thuy-Quang Le","huong-thuy-quang-le","NULL",0
"tvkt","Tuan vu & Kha Tu","tuan-vu-kha-tu","NULL",0
"stt","Saka Truong Tuyen","saka-truong-tuyen","NULL",0
"tn","Thanh Nguyễn","thanh-nguyen","NULL",0
"kdnh","Ky Duyen & Nguyen Hung","ky-duyen-nguyen-hung","NULL",0
"vql","Va Quang Long","va-quang-long","NULL",0
"pv","Phuong Vy","phuong-vy","NULL",0
"mtvtq","Mai Thien Van-Tuan Quynh","mai-thien-van-tuan-quynh","NULL",0
"ktltl","Kim Tu Long & Thanh Loc","kim-tu-long-thanh-loc","NULL",0
"dlyp","Duy Linh-Yen Phuong","duy-linh-yen-phuong","NULL",0
"z","Zedd","zedd","NULL",0
"ag","Adrian Gurvitz","adrian-gurvitz","NULL",0
"hyc","Hoàng Yến Chibi","hoang-yen-chibi","NULL",0
"atbt","Amy & Tina Bao Tram","amy-tina-bao-tram","NULL",0
"dtt","Doan Thuy Trang","doan-thuy-trang","NULL",0
"dnhm","Dai Nhan-Hoa My","dai-nhan-hoa-my","NULL",0
"aqi","Anh Quan Idol","anh-quan-idol","NULL",0
"hvhv","Ha Vy & Huy Vu","ha-vy-huy-vu","NULL",0
"hng","Hoang Nghia Galaxy","hoang-nghia-galaxy","NULL",0
"dttmd","Diep Thanh Thanh & Manh Dinh","diep-thanh-thanh-manh-dinh","NULL",0
"dpdda","Dao Phi Duong-Duyen Anh","dao-phi-duong-duyen-anh","NULL",0
"tcnqam","Tieu Chau Nhu Quynh-Antoneus Maximus","tieu-chau-nhu-quynh-antoneus-maximus","NULL",0
"cnl","Chau Ngoc Linh","chau-ngoc-linh","NULL",0
"tt","Tin Taro","tin-taro","NULL",0
"hd","Huy Duc","huy-duc","NULL",0
"tn","Tuyet Nhung","tuyet-nhung","NULL",0
"hk","Hoang Kim","hoang-kim","NULL",0
"hlhv","Hoai Linh-Hong Van","hoai-linh-hong-van","NULL",0
"d","Duong","duong","NULL",0
"dktt","Dang Khoi-Thuy Tien","dang-khoi-thuy-tien","NULL",0
"ml","Mai Linh","mai-linh","NULL",0
"th","Thu Hang","thu-hang","NULL",0
"hclcv","Hoang Chau-Luu Chi Vy","hoang-chau-luu-chi-vy","NULL",0
"hcflcv","Hoang Chau ft Luu Chi Vy","hoang-chau-ft-luu-chi-vy","NULL",0
"ap","Ai Phuong","ai-phuong","NULL",0
"pk","Phi Khanh","phi-khanh","NULL",0
"kmh","Kim Minh Huy","kim-minh-huy","NULL",0
"tah","Tran Anh Huy","tran-anh-huy","NULL",0
"tn","Tommy Ngo","tommy-ngo","NULL",0
"cpk","Chau Phuong Ky","chau-phuong-ky","NULL",0
"ypmp","Y Phung & Minh Phung","y-phung-minh-phung","NULL",0
"clntym","Cat Ly & Ngoc Thuy & Yen Mai","cat-ly-ngoc-thuy-yen-mai","NULL",0
"l","Leg","leg","NULL",0
"tcnnqk7","Top Ca Nam Nu Quan Khu 7","top-ca-nam-nu-quan-khu-7","NULL",0
"lln","Lynk Lee-NQP","lynk-lee-nqp","NULL",0
"lhg","Luu Huong Giang","luu-huong-giang","NULL",0
"py","Phuong Y","phuong-y","NULL",0
"cm","Cao Minh","cao-minh","NULL",0
"qb","Quang Binh","quang-binh","NULL",0
"cttn","Chau Tuan-Toan Nguyen","chau-tuan-toan-nguyen","NULL",0
"hl","Hoai Lam","hoai-lam","NULL",0
"pt","Phuong Trinh","phuong-trinh","NULL",0
"yt","Yen Trang","yen-trang","NULL",0
"pdttnb","Phan Dinh Tung-Thai Ngoc Bich","phan-dinh-tung-thai-ngoc-bich","NULL",0
"dstt","Diem Suong-Toc Tien","diem-suong-toc-tien","NULL",0
"dtlbh","Dan Truong-Luong Bich Huu","dan-truong-luong-bich-huu","NULL",0
"tqd","Trieu Quoc Dat","trieu-quoc-dat","NULL",0
"nn","Nhu Nguyen","nhu-nguyen","NULL",0
"hq","Ho Quang","ho-quang","NULL",0
"hm","Huy MC","huy-mc","NULL",0
"ct","Cao Thanh","cao-thanh","NULL",0
"jhytk","Jenny Hai Yen-Tuan KC","jenny-hai-yen-tuan-kc","NULL",0
"qtd","Quach Tan Du","quach-tan-du","NULL",0
"vd","Vuong Duy","vuong-duy","NULL",0
"bctk","Bang Cuong-Thuy Khanh","bang-cuong-thuy-khanh","NULL",0
"hny","Huynh Nhu Y","huynh-nhu-y","NULL",0
"np","Nha Phuong","nha-phuong","NULL",0
"bctlv","Bang Cuong-Thai Lan Vien","bang-cuong-thai-lan-vien","NULL",0
"mhnl","My Huong-Nguyen Loc","my-huong-nguyen-loc","NULL",0
"lgh","Lam Gia Huy","lam-gia-huy","NULL",0
"ktph","Kha Tu & Phuong Hung","kha-tu-phuong-hung","NULL",0
"td","Thanh Duy","thanh-duy","NULL",0
"dh","Dieu Huong","dieu-huong","NULL",0
"lntltv","Lam Nhat Tien-Lam Thuy Van","lam-nhat-tien-lam-thuy-van","NULL",0
"ghn","Giang Hong Ngoc","giang-hong-ngoc","NULL",0
"nq","Ngoc Quy","ngoc-quy","NULL",0
"k","KidNight","kidnight","NULL",0
"cpedtvvd","Co Phai Em Doi Thay_vn_Van Du","co-phai-em-doi-thay-vn-van-du","NULL",0
"hc","Hoang Chinh","hoang-chinh","NULL",0
"vqn","Vu Quoc Nhat","vu-quoc-nhat","NULL",0
"cplh","Cat Phuong-Ly Hai","cat-phuong-ly-hai","NULL",0
"nc","Ngoc Chau","ngoc-chau","NULL",0
"tc","To Chau","to-chau","NULL",0
"ctl","Cong Thanh & Lynn","cong-thanh-lynn","NULL",0
"pl","Phi Long","phi-long","NULL",0
"nth","NSND Thanh Hoa","nsnd-thanh-hoa","NULL",0
"hvk","HAT-Vuong Khang","hat-vuong-khang","NULL",0
"tcnn","Tu Ca Ngau Nhien","tu-ca-ngau-nhien","NULL",0
"dnnhn","Dan Nguyen & Nguyen Hong Nhung","dan-nguyen-nguyen-hong-nhung","NULL",0
"dnmt","Dan Nguyen-Minh Tuyet","dan-nguyen-minh-tuyet","NULL",0
"ktltv","Kenny Thai-Lam Thuy Van","kenny-thai-lam-thuy-van","NULL",0
"nt","Nguyen Tam","nguyen-tam","NULL",0
"cvkt","Cam Van-Khac Trieu","cam-van-khac-trieu","NULL",0
"sg","Selena Gomez","selena-gomez","NULL",0
"vum","Vina Uyen My","vina-uyen-my","NULL",0
"sdm","Stephanie De Monaco","stephanie-de-monaco","NULL",0
"mb","Michael Bolton","michael-bolton","NULL",0
"ahltl","A Huy-Lyna Thuy Linh","a-huy-lyna-thuy-linh","NULL",0
"han","Hoang Anh Nhan","hoang-anh-nhan","NULL",0
"lha","Luu Ha Anh","luu-ha-anh","NULL",0
"kvmq","Khang Viet-Manh Quan","khang-viet-manh-quan","NULL",0
"lnah","Luong Nguyen-Anh Huy","luong-nguyen-anh-huy","NULL",0
"lhgthha","Luu Huong Giang-Team Ho Hoai Anh","luu-huong-giang-team-ho-hoai-anh","NULL",0
"kd","Khanh Don","khanh-don","NULL",0
"dknlht","Doan Khanh Nguyen-Le Hoang Tam","doan-khanh-nguyen-le-hoang-tam","NULL",0
"ttctth","To Thai Cuong-To Thy Hang","to-thai-cuong-to-thy-hang","NULL",0
"lt","Le Trung","le-trung","NULL",0
"llpb","Lynk Lee-Phuc Bang","lynk-lee-phuc-bang","NULL",0
"bvp","Bui Vinh Phuc","bui-vinh-phuc","NULL",0
"ct","Cat Tuyen","cat-tuyen","NULL",0
"pn","Phin Nhung","phin-nhung","NULL",0
"tl","Tien Luan","tien-luan","NULL",0
"it","isaac Thai","isaac-thai","NULL",0
"lva","Le Viet Anh","le-viet-anh","NULL",0
"s","S","s","NULL",0
"lghqvh","Luong Gia Huy-Quang Vinh Ha","luong-gia-huy-quang-vinh-ha","NULL",0
"lqlh","Le Quyen-Le Hieu","le-quyen-le-hieu","NULL",0
"tttth","Thuy Tien & Tran Thai Hoa","thuy-tien-tran-thai-hoa","NULL",0
"bt","Bich Thao","bich-thao","NULL",0
"vktl","Vu Khanh & Thanh Lan","vu-khanh-thanh-lan","NULL",0
"plh","Phan Long Huy","phan-long-huy","NULL",0
"plttl","Phuong Lam & T T La","phuong-lam-t-t-la","NULL",0
"tt","Triple T","triple-t","NULL",0
"hnlss","Hoang Nam-La Suong Suong","hoang-nam-la-suong-suong","NULL",0
"mtpt","Minh Thuan & Phuong Thanh","minh-thuan-phuong-thanh","NULL",0
"ph","Phuong Hung","phuong-hung","NULL",0
"phv","Pham Ha Vy","pham-ha-vy","NULL",0
"s","sc","sc","NULL",0
"dh","Duy Hoa","duy-hoa","NULL",0
"dd","Dong Dong","dong-dong","NULL",0
"hy","Hai Yen","hai-yen","NULL",0
"hl","Hoai Linh","hoai-linh","NULL",0
"akt","Automatic Khac Tri","automatic-khac-tri","NULL",0
"hqhhta","Ho Quang Hieu-Ho Tuan Anh","ho-quang-hieu-ho-tuan-anh","NULL",0
"qn","Quang Ngoc","quang-ngoc","NULL",0
"kkpn","Kevin Khoa-Phi Nhung","kevin-khoa-phi-nhung","NULL",0
"l","Lilian","lilian","NULL",0
"vum","Vina Uyen Mi","vina-uyen-mi","NULL",0
"1b","1088 Band","1088-band","NULL",0
"dhtm","Duc Huy-Thao Mi","duc-huy-thao-mi","NULL",0
"dtdvq","Dinh Tien Dat-Viet Quang","dinh-tien-dat-viet-quang","NULL",0
"clxp","Cam Ly-Xuan Phu","cam-ly-xuan-phu","NULL",0
"nhyp","Ngoc Huong & Y Phuong","ngoc-huong-y-phuong","NULL",0
"cv","Cam Van","cam-van","NULL",0
"mltm","My Linh-Tan Minh","my-linh-tan-minh","NULL",0
"mt","M-TP","m-tp","NULL",0
"nht","Nhat Hoang Tan","nhat-hoang-tan","NULL",0
"hgts","Huong Giang-Ton Son","huong-giang-ton-son","NULL",0
"tl","Truc Lan","truc-lan","NULL",0
"dbl","Dao Ba Loc","dao-ba-loc","NULL",0
"kd","Khac Dung","khac-dung","NULL",0
"kttc","Kha Tu & Thai Chau","kha-tu-thai-chau","NULL",0
"qktk","Quoc Khanh-Thien Kim","quoc-khanh-thien-kim","NULL",0
"kb","Kim Bao","kim-bao","NULL",0
"tdq","Trinh Dinh Quang","trinh-dinh-quang","NULL",0
"lntnh","Lam Nhat Tien & Ngoc Ha","lam-nhat-tien-ngoc-ha","NULL",0
"kdpd","Khanh Duy-Phuong Dung","khanh-duy-phuong-dung","NULL",0
"hnhl","Hoai Nam & Huong Lan","hoai-nam-huong-lan","NULL",0
"nhtn","Ngoc Huyen & Tuong Nguyen","ngoc-huyen-tuong-nguyen","NULL",0
"kvd","Keon-Vuong Duy","keon-vuong-duy","NULL",0
"th","Tuan Hai","tuan-hai","NULL",0
"qh","Quynh Huong","quynh-huong","NULL",0
"babat","Bao Anh-Bui Anh Tuan","bao-anh-bui-anh-tuan","NULL",0
"ltqtq","Luong Tung Quang & Tu Quyen","luong-tung-quang-tu-quyen","NULL",0
"bhhlt","Bao Han & Ho Le Thu","bao-han-ho-le-thu","NULL",0
"tpt","To Phuong Trang","to-phuong-trang","NULL",0
"hm","Huynh My","huynh-my","NULL",0
"ta","Tram Anh","tram-anh","NULL",0
"lntlb","Lam Nhat Tien & Luu Bich","lam-nhat-tien-luu-bich","NULL",0
"nl","Nhu Lan","nhu-lan","NULL",0
"htm","Hoang Tung Minh","hoang-tung-minh","NULL",0
"tk","Tuan Khoa","tuan-khoa","NULL",0
"vbk","Vuong Bao Khang","vuong-bao-khang","NULL",0
"lqa","Louis Quy Anh","louis-quy-anh","NULL",0
"dl","Duy Le","duy-le","NULL",0
"ltnb","Le Toan & Ngoc Bich","le-toan-ngoc-bich","NULL",0
"qm","Quang Man","quang-man","NULL",0
"vtm","Vu Thao My","vu-thao-my","NULL",0
"tyv","Truong Y Van","truong-y-van","NULL",0
"vn","Viet Nu","viet-nu","NULL",0
"e","Echosmith","echosmith","NULL",0
"bm","Bruno Mars","bruno-mars","NULL",0
"o","OneRepublic","onerepublic","NULL",0
"m","Madonna","madonna","NULL",0
"ew","Eight Wonder","eight-wonder","NULL",0
"b","Basia","basia","NULL",0
"jp","Jennifer Paige","jennifer-paige","NULL",0
"sw","Simon Wong","simon-wong","NULL",0
"ta","T-Ara","t-ara","NULL",0
"bj","Binz-JustaTee","binz-justatee","NULL",0
"jtfb","Justa Tee ft Binz","justa-tee-ft-binz","NULL",0
"ntavo","Nhat Tinh Anh-Vy Oanh","nhat-tinh-anh-vy-oanh","NULL",0
"dhlhncb","Duong Hong Loan-Huynh Nguyen Cong Bang","duong-hong-loan-huynh-nguyen-cong-bang","NULL",0
"hgmtd","Huong Giang & Mai Tien Dung","huong-giang-mai-tien-dung","NULL",0
"mvmt","Minh Vuong-Mai Trang","minh-vuong-mai-trang","NULL",0
"tbtm","Thanh Bui-Thu Minh","thanh-bui-thu-minh","NULL",0
"vth","Vu Thanh Hang","vu-thanh-hang","NULL",0
"vs","Van Son","van-son","NULL",0
"ncp","Nguyen Chan Phong","nguyen-chan-phong","NULL",0
"ct","Che Thanh","che-thanh","NULL",0
"nt","Ngoc Tam","ngoc-tam","NULL",0
"nl","Nguyen Loc","nguyen-loc","NULL",0
"lh","Le Huynh","le-huynh","NULL",0
"d","default","default","NULL",0
"kdth","Khanh Don-Tam Ho","khanh-don-tam-ho","NULL",0
"u","Using","using","NULL",0
"tl","Thuy Long","thuy-long","NULL",0
"hvkqr","Ho Vinh Khoa-Quan Rapsoul","ho-vinh-khoa-quan-rapsoul","NULL",0
"lcl","Luu Chan Long","luu-chan-long","NULL",0
"at","A Tuân","a-tuan","NULL",0
"mntk","Minh Nguyet-Tuan Khuong","minh-nguyet-tuan-khuong","NULL",0
"nkhvo","Ngo Kien Huy-Vy Oanh","ngo-kien-huy-vy-oanh","NULL",0
"j","JN","jn","NULL",0
"tqt","Ta Quang Thang","ta-quang-thang","NULL",0
"htqh","Hien Thuc-Quang Ha","hien-thuc-quang-ha","NULL",0
"hl","Huynh Loi","huynh-loi","NULL",0
"ab","Anh Bang","anh-bang","NULL",0
"lcva","Luu Chi Vy & AXN","luu-chi-vy-axn","NULL",0
"lcvt","Luu Chi Vy-Tim","luu-chi-vy-tim","NULL",0
"dhhv","Don Ho-Ha Vy","don-ho-ha-vy","NULL",0
"dth","Duong Trieu Hai","duong-trieu-hai","NULL",0
"dhnh","Don Ho & Ngoc Hue","don-ho-ngoc-hue","NULL",0
"kt","Kavie Tran","kavie-tran","NULL",0
"nqtq","Nhat Quoc & Tan Quoc","nhat-quoc-tan-quoc","NULL",0
"kbh","Khang Bao Hung","khang-bao-hung","NULL",0
"atnh","Andy Thanh & Ngoc Hue","andy-thanh-ngoc-hue","NULL",0
"ath","Au Thai Hoang","au-thai-hoang","NULL",0
"a","Armani","armani","NULL",0
"nt","Nhat Thuc","nhat-thuc","NULL",0
"tb","Tan Beo","tan-beo","NULL",0
"tt","Thai Trinh","thai-trinh","NULL",0
"ak","Anh Kiet","anh-kiet","NULL",0
"ba","Bryan Adams","bryan-adams","NULL",0
"dhy","Duong Hoang Yen","duong-hoang-yen","NULL",0
"ttb","Trinh Thang Binh","trinh-thang-binh","NULL",0
"bt","Bich Tram","bich-tram","NULL",0
"nl","Nhat Lam","nhat-lam","NULL",0
"kd","Khanh Duy","khanh-duy","NULL",0
"nvd","Nghiem Viet Dung","nghiem-viet-dung","NULL",0
"tn","Trong Nguyen","trong-nguyen","NULL",0
"um","Uot Mi","uot-mi","NULL",0
"nk","Ngoc Ky","ngoc-ky","NULL",0
"mp","My Phuong","my-phuong","NULL",0
"apht","Akira Phan-Helen Tran","akira-phan-helen-tran","NULL",0
"ntt","Ngo Thuy Tien","ngo-thuy-tien","NULL",0
"batdhy","Bui Anh Tuan-Duong Hoang Yen","bui-anh-tuan-duong-hoang-yen","NULL",0
"hn","Huy Nam","huy-nam","NULL",0
"ahtj","AiTai-Hoang Thy-Judy","aitai-hoang-thy-judy","NULL",0
"clmt","Cam Ly-Minh Tuyet","cam-ly-minh-tuyet","NULL",0
"dad","Duc Anh D","duc-anh-d","NULL",0
"aq","Andy Quach","andy-quach","NULL",0
"tdts","Tam Doan & The Son","tam-doan-the-son","NULL",0
"tcyk","Thai Chau & Yen Khoa","thai-chau-yen-khoa","NULL",0
"tttt","Thanh Toan & Thuy Trinh","thanh-toan-thuy-trinh","NULL",0
"tdtv","Thuy Duong & Tuan Vu","thuy-duong-tuan-vu","NULL",0
"hqhlbh","Ho Quang Hieu-Luong Bich Huu","ho-quang-hieu-luong-bich-huu","NULL",0
"hsko","Hoang Son-Kieu Oanh","hoang-son-kieu-oanh","NULL",0
"mq","Manh Quynh.OKF","manh-quynhokf","NULL",0
"mqnt","Manh Quynh & Nha Thanh","manh-quynh-nha-thanh","NULL",0
"ntv","Nguyen Truong Van","nguyen-truong-van","NULL",0
"phpn","Philip Huy-Phuong Nghi","philip-huy-phuong-nghi","NULL",0
"mqpn","Manh Quynh-Phi Nhung","manh-quynh-phi-nhung","NULL",0
"nsnka","Ngoc Son-Nhat Kim Anh","ngoc-son-nhat-kim-anh","NULL",0
"tvtt","Tuấn Vũ & Thiên Trang","tuan-vu-thien-trang","NULL",0
"qh","Quang Huy","quang-huy","NULL",0
"hn","Hang Nga","hang-nga","NULL",0
"qd","Quynh Dung","quynh-dung","NULL",0
"ttyp","Thien Trang & Y Phung","thien-trang-y-phung","NULL",0
"dqep","Duy Quang & Elvis Phuong","duy-quang-elvis-phuong","NULL",0
"kh","Khanh Hoanh","khanh-hoanh","NULL",0
"tq","Tinh Quyen","tinh-quyen","NULL",0
"hnd","Huynh Nhat Dong","huynh-nhat-dong","NULL",0
"vvtv","Vboys-Vy Thuy Van","vboys-vy-thuy-van","NULL",0
"lbstn","Lu Binh-Swainz Tuan Nguyen","lu-binh-swainz-tuan-nguyen","NULL",0
"tham","Thuy Huong-Anh Minh","thuy-huong-anh-minh","NULL",0
"lbv","Luong Bang Vinh","luong-bang-vinh","NULL",0
"qhqaa","Quang Ha-Quach An an","quang-ha-quach-an-an","NULL",0
"dtv","Dang Trong Vu","dang-trong-vu","NULL",0
"daiqtd","Duyen Anh Idol-Quach Tuan Du","duyen-anh-idol-quach-tuan-du","NULL",0
"yv","Yen Vi","yen-vi","NULL",0
"vhvh","Viet Hoan-Vi Hoa","viet-hoan-vi-hoa","NULL",0
